WID,MALE,AGE,AGESQ,TENURE,HOURS,EDUC,PEXP,PEXPSQ,LMEARNCP,LMEARNPP,EDUCSQ,TENSQ,MGMT,SUPER,ADMIN,SALES,TECH,WAVE2,WAVE3,COUNTRY,FIRM,WAVE,FIRMWAVE,CAPCITY,WOOD1,TEXTILE1,METAL1,ANYFOR,ANYSTAT,EMP,LEMP,LVADPPP,LCAPPPP,LVADEMPPPP,LCAPEMPPPP,Tr
4,1,26,676,6,72,9,11,121,5.08195676753066,1.98611514645744,81,36,0,0,0,0,0,0,0,"Zambia",419,1,"419-1",0,0,0,0,0,0,56,4.02535169073515,12.6274656356525,12.2493977702685,8.60211394491735,8.22404607953335,0
1,1,40,1600,1,40,8,26,676,5.48742187563882,2.39158025456561,64,1,0,0,0,0,0,0,0,"Zambia",768,1,"768-1",0,0,0,1,0,0,2,0.693147180559945,7.62761627046644,7.93540354598649,6.93446908990649,7.24225636542655,0
8,1,35,1225,9,48,9,20,400,5.54883050376747,2.45298888269425,81,81,0,0,0,0,0,0,0,"Zambia",794,1,"794-1",0,0,1,0,1,0,505,6.22455842927536,16.5506515778417,18.1355018017187,10.3260931485663,11.9109433724433,0
2,1,20,400,0.333333333333333,51,7,7,49,5.77510394809061,2.67926232701739,49,0.111111111111111,0,0,0,0,0,0,0,"Zambia",962,1,"962-1",0,0,0,1,0,0,3,1.09861228866811,6.3725518049828,8.3373747648404,5.27393951631469,7.23876247617229,0
3,1,25,625,0,36,12,7,49,5.99824749940481,2.9024058783316,144,0,0,0,0,0,0,0,0,"Zambia",114,1,"114-1",0,0,0,0,0,0,19,2.94443897916644,4.62804522060529,12.4317193270625,1.68360624143885,9.48728034789606,0
3,0,28,784,0.25,45,7,15,225,5.99824749940481,2.9024058783316,49,0.0625,0,0,0,0,0,0,0,"Zambia",807,1,"807-1",1,0,1,0,0,0,5,1.6094379124341,11.2116672087223,11.5954713028619,9.6022292962882,9.9860333904278,0
2,1,38,1444,8,48,7,25,625,5.99824749940481,2.9024058783316,49,64,0,0,0,0,0,0,0,"Zambia",922,1,"922-1",0,0,0,0,0,0,26,3.25809653802148,9.57352641952176,13.0378551306328,6.31542988150028,9.77975859261132,0
1,1,44,1936,21,40,1,37,1369,5.99824749940481,2.9024058783316,1,441,0,0,0,0,0,0,0,"Zambia",284,1,"284-1",0,0,0,0,0,0,13,2.56494935746154,11.4153697310086,12.4317193270625,8.85042037354706,9.86676996960096,0
4,1,29,841,1.41666666666667,60,7,16,256,6.11157618471182,3.0157345636386,49,2.00694444444444,0,0,0,0,0,0,0,"Zambia",799,1,"799-1",0,0,0,0,0,0,16,2.77258872223978,11.2115608314018,11.3331070383944,8.43897210916202,8.56051831615462,0
6,1,24,576,0.166666666666667,54,9,9,81,6.14666750452309,3.05082588344987,81,0.0277777777777778,0,0,0,0,0,0,0,"Zambia",284,1,"284-1",0,0,0,0,0,0,13,2.56494935746154,11.4153697310086,12.4317193270625,8.85042037354706,9.86676996960096,0
3,1,31,961,0.416666666666667,60,10,15,225,6.18056905619877,3.08472743512555,100,0.173611111111111,0,0,0,0,0,0,0,"Zambia",799,1,"799-1",0,0,0,0,0,0,16,2.77258872223978,11.2115608314018,11.3331070383944,8.43897210916202,8.56051831615462,0
1,1,27,729,3,45,10,11,121,6.19709835814998,3.10125673707676,100,9,0,0,0,0,0,0,0,"Zambia",640,1,"640-1",1,0,1,0,0,0,3,1.09861228866811,8.77969063666473,8.3373747648404,7.68107834799662,7.23876247617229,0
4,1,20,400,0.0166666666666667,45,9,5,25,6.26061176387231,3.16477014279909,81,0.000277777777777778,0,0,0,0,0,0,0,"Zambia",538,1,"538-1",0,0,0,1,0,0,58,4.06044301054642,14.2490168204631,14.0411572394966,10.1885738099167,9.98071422895018,0
4,1,19,361,7,54,6,7,49,6.26061176387231,3.16477014279909,36,49,0,0,0,0,0,0,0,"Zambia",257,1,"257-1",1,0,0,0,0,0,70,4.24849524204936,10.6971828060315,13.6356921313884,6.44868756398214,9.38719688933904,0
5,1,25,625,0.666666666666667,45,7,12,144,6.26061176387231,3.16477014279909,49,0.444444444444444,0,0,0,0,0,0,0,"Zambia",144,1,"144-1",0,1,0,0,0,0,25,3.2188758248682,11.0573924209209,12.9425449508285,7.8385165960527,9.7236691259603,0
5,0,22,484,2.5,45,9,7,49,6.33471973602603,3.23887811495281,81,6.25,0,0,0,0,0,0,0,"Zambia",596,1,"596-1",0,0,1,0,0,0,27,3.29583686600433,11.655291477589,15.2451300438225,8.35945461158467,11.9492931778182,0
3,1,26,676,4,48,9,11,121,6.33471973602603,3.23887811495281,81,16,0,0,0,0,0,0,0,"Zambia",472,1,"472-1",1,1,0,0,0,0,14,2.63905732961526,7.72083439929854,11.7385721465026,5.08177706968328,9.09951481688734,0
4,1,47,2209,2,60,12,29,841,6.33471973602603,3.23887811495281,144,4,0,0,0,0,0,0,0,"Zambia",537,1,"537-1",0,0,0,0,0,0,17,2.83321334405622,9.11156914906477,12.0262542189543,6.27835580500855,9.19304087489808,0
