ccoder,year,countryname,ccode,polity2r,agree3un,HR,lnmanpower,leaidc,lmaidc,lgdppcc,lpop,lgdpc,lexportc,rg1,rg2,rg3,rg4,rg5,terr,POTUS,USSenate,USHouse,USunempl,USgrowth,USinflation
20,1992,"Canada",20,10,0.574324309825897,1,6.24222326545517,NA,NA,10.1646547317505,17.1661014556885,27.3307571411133,25.4700775146484,0,1,0,0,0,0,1,0,0,7.49166666666667,3.52244052740502,3
20,1993,"Canada",20,10,0.6015625,1,6.30627528694802,NA,NA,10.1768274307251,17.1770458221436,27.3538722991943,25.626485824585,0,1,0,0,0,0,0,0,0,6.90833333333333,2.75178105096643,3
20,1994,"Canada",20,10,0.617647051811218,1,5.64544689764324,NA,NA,10.2141389846802,17.1866569519043,27.4007968902588,25.8032970428467,0,1,0,0,0,0,0,0,0,6.1,4.02879325991903,2.6
20,1995,"Canada",20,10,0.530864179134369,1,5.37063802812766,NA,NA,10.2335548400879,17.194938659668,27.4284934997559,25.8839683532715,0,1,0,0,0,0,0,1,1,5.59166666666667,2.68421727207786,2.8
20,1996,"Canada",20,10,0.638157904148102,1,5.34233425196481,NA,NA,10.2388410568237,17.2057113647461,27.4445514678955,25.9121627807617,0,1,0,0,0,0,0,1,1,5.40833333333333,3.77256549921414,2.9
20,1997,"Canada",20,10,0.579710125923157,1,5.19295685089021,NA,NA,10.2696619033813,17.2162818908691,27.4859428405762,26.039794921875,0,1,0,0,0,0,0,1,1,4.94166666666667,4.44717494524525,2.3
20,1998,"Canada",20,10,0.573770463466644,1,5.05624580534831,NA,NA,10.3011627197266,17.2249374389648,27.5261001586914,26.1395492553711,0,1,0,0,0,0,0,1,1,4.5,4.48139443155316,1.6
20,1999,"Canada",20,10,0.580882370471954,1,5.01727983681492,NA,10.4057712554932,10.3467311859131,17.233211517334,27.5799427032471,26.1792697906494,0,1,0,0,0,0,0,1,1,4.21666666666667,4.79449904467508,2.2
20,2000,"Canada",20,10,0.574626863002777,1,5.05624580534831,NA,10.9182605743408,10.3889102935791,17.2420406341553,27.6309509277344,26.2074794769287,0,1,0,0,0,0,0,1,1,3.96666666666667,4.07715947941618,3.4
20,2001,"Canada",20,10,0.544776141643524,1,5.0998664278242,NA,10.7567539215088,10.3964958190918,17.2521362304688,27.6486320495605,26.173942565918,0,1,0,0,0,0,1,0,1,4.74166666666667,0.954338728708379,2.8
20,2002,"Canada",20,10,0.486301362514496,1,5.00394630594546,NA,10.951416015625,10.4163503646851,17.2611083984375,27.6774578094482,26.158203125,0,1,0,0,0,1,1,0,1,5.78333333333333,1.69594292274957,1.6
20,2003,"Canada",20,10,0.513157904148102,1,4.95582705760126,17.1902446746826,9.60175132751465,10.4250240325928,17.2710704803467,27.6960945129395,26.0650939941406,0,1,0,0,0,1,1,1,1,5.99166666666667,2.7962091006717,2.3
20,2004,"Canada",20,10,0.52142858505249,1,5.05624580534831,16.9740505218506,8.95726585388184,10.4457263946533,17.2810897827148,27.7268161773682,26.0617809295654,0,1,0,0,0,1,1,1,1,5.54166666666667,3.85255260064351,2.7
20,2005,"Canada",20,10,0.472602725028992,1,5.01727983681492,16.8596687316895,NA,10.4656114578247,17.2909488677979,27.7565612792969,26.0771141052246,0,1,0,0,0,1,1,1,1,5.08333333333333,3.48322032025258,3.4
