LWAGE,EXP,EXP2,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,M,F_EDC
6.24417,9,81,32,0,1,1,0,1,0,0,9,0,1,0
6.81564,36,1296,30,1,1,0,0,1,0,0,11,0,1,0
6.86066,12,144,46,1,1,0,0,0,0,1,12,0,1,0
6.62141,37,1369,46,1,0,0,1,0,1,0,10,1,0,10
7.29574,16,256,49,0,0,0,0,1,0,0,16,0,1,0
7.33889,32,1024,47,1,1,0,1,1,0,0,12,0,1,0
6.52209,21,441,48,1,0,0,0,1,0,1,12,0,1,0
6.89163,29,841,51,1,1,0,1,1,0,1,10,0,1,0
7.20786,9,81,48,0,0,1,1,1,0,0,16,0,1,0
6.73934,9,81,40,0,0,1,1,1,0,0,16,0,1,0
7.24423,30,900,47,1,0,0,1,1,0,1,12,0,1,0
7.05272,27,729,46,1,0,1,1,1,0,1,12,0,1,0
7.40001,32,1024,46,1,0,1,1,1,0,0,12,0,1,0
7.12287,21,441,44,0,0,1,1,1,0,0,17,0,1,0
6.47697,15,225,48,0,0,0,0,0,1,0,14,0,0,14
6.38856,22,484,49,1,0,1,1,0,1,0,12,1,0,12
7.1309,22,484,47,0,1,0,0,1,0,0,14,0,1,0
7.80384,31,961,47,0,1,1,1,1,0,0,16,0,1,0
6.93634,46,2116,40,1,1,0,1,1,0,1,12,0,1,0
7.26683,31,961,48,0,1,0,0,1,0,0,16,0,1,0
6.44254,34,1156,42,1,1,1,0,1,0,1,4,0,1,0
7.04752,26,676,47,0,0,0,0,1,0,0,14,0,1,0
7.89357,17,289,50,0,0,0,1,1,0,0,16,0,1,0
5.85793,11,121,50,1,0,0,0,0,1,0,12,0,0,12
6.90776,14,196,41,0,0,0,1,1,0,1,17,0,1,0
7.36708,20,400,48,0,1,1,1,1,0,0,15,0,1,0
7.31322,14,196,23,0,0,0,0,0,0,0,16,0,1,0
6.74524,32,1024,49,1,0,0,1,1,0,0,12,0,1,0
7.56008,37,1369,49,0,0,0,1,1,0,0,14,0,1,0
6.64379,23,529,49,0,0,1,1,0,1,0,12,0,0,12
7.61332,28,784,45,0,1,0,1,1,0,0,17,0,1,0
7.74066,36,1296,47,0,1,0,1,1,0,0,16,0,1,0
7.46737,20,400,49,0,0,0,1,1,0,0,16,0,1,0
5.98394,51,2601,46,1,0,1,0,1,0,0,8,0,1,0
7.02554,14,196,45,1,1,0,1,1,0,1,13,1,1,0
7.18007,21,441,41,0,0,1,1,1,0,0,10,0,1,0
7.40914,18,324,49,0,0,0,1,0,0,0,14,0,1,0
6.52209,16,256,49,1,1,0,0,1,0,1,12,0,1,0
6.80793,12,144,51,0,0,0,1,1,0,0,13,0,1,0
7.35819,36,1296,47,0,0,1,0,1,0,1,8,0,1,0
7.745,26,676,47,0,0,1,1,1,0,0,16,0,1,0
7.02554,36,1296,49,1,1,0,1,0,1,1,12,1,0,12
7.43838,11,121,49,0,0,0,1,1,0,0,16,0,1,0
7.6009,13,169,46,0,1,0,1,1,0,0,17,0,1,0
6.65286,19,361,49,0,0,0,1,0,1,0,13,0,0,13
6.55108,12,144,47,1,0,0,0,1,0,1,12,0,1,0
7.09008,32,1024,48,0,0,0,1,1,0,0,14,0,1,0
7.43838,32,1024,49,0,1,0,1,0,0,0,16,0,1,0
7.82084,37,1369,48,0,1,0,0,1,0,0,16,0,1,0
6.84907,37,1369,28,0,0,0,1,0,1,1,12,0,0,12
7.91936,37,1369,44,0,1,0,1,1,0,0,17,0,1,0
7.64969,31,961,49,0,0,0,1,1,0,1,16,0,1,0
7.20786,19,361,48,0,0,0,0,1,0,0,13,0,1,0
7.10003,19,361,50,1,1,0,0,1,0,1,11,0,1,0
7.20786,38,1444,46,1,1,0,1,1,0,1,8,0,1,0
6.53379,29,841,50,1,1,1,0,1,0,0,12,0,1,0
6.31355,27,729,48,0,0,1,1,1,0,0,11,0,1,0
7.1309,43,1849,48,1,1,0,1,1,0,0,14,0,1,0
7.64969,32,1024,46,0,1,0,1,1,0,0,17,0,1,0
6.1717,24,576,43,1,0,0,1,0,1,1,11,1,0,11
7.1309,30,900,26,0,0,0,1,0,1,0,17,0,0,17
7.2724,13,169,49,1,1,1,0,1,0,0,16,0,1,0
7.36645,17,289,50,0,0,0,0,1,0,0,17,0,1,0
6.80239,40,1600,50,1,1,0,1,1,0,0,12,0,1,0
7.04578,36,1296,45,1,1,0,1,1,0,1,8,0,1,0
6.85646,26,676,48,1,1,1,0,1,0,0,8,0,1,0
6.47697,34,1156,49,1,0,1,0,1,0,0,12,0,1,0
6.95655,40,1600,46,1,1,0,1,1,0,1,12,0,1,0
6.93049,33,1089,48,1,1,0,1,1,0,0,13,0,1,0
7.17012,14,196,48,0,0,0,0,1,0,0,16,0,1,0
7.40184,13,169,48,0,0,1,1,0,0,0,16,0,1,0
7.00307,17,289,42,0,0,0,0,1,0,1,17,0,1,0
7.11314,19,361,47,0,0,0,1,1,0,1,16,0,1,0
5.85793,9,81,52,1,0,1,0,0,0,0,13,0,1,0
6.44572,29,841,47,1,1,1,0,1,0,0,8,1,1,0
6.24611,15,225,49,1,0,0,0,1,0,0,13,0,1,0
6.2804,16,256,39,1,0,1,0,1,0,0,10,0,1,0
6.30992,43,1849,50,1,0,1,1,0,0,0,12,0,1,0
6.05209,16,256,50,1,0,0,0,0,1,0,8,0,0,8
7.26193,11,121,50,0,1,0,0,1,0,0,17,0,1,0
7.17319,12,144,50,1,0,0,1,1,0,0,16,0,1,0
7.06561,28,784,36,1,0,1,0,1,0,1,12,0,1,0
6.56386,18,324,46,1,0,0,1,0,0,1,12,0,1,0
6.70073,44,1936,47,0,0,1,1,1,0,0,17,1,1,0
6.66823,21,441,49,1,1,0,0,0,0,1,7,0,1,0
6.65286,9,81,48,0,0,1,1,0,1,0,12,0,0,12
7.11558,18,324,49,1,0,0,1,1,0,1,14,0,1,0
7.2724,11,121,49,0,1,0,1,1,0,0,15,0,1,0
6.73934,17,289,49,0,0,0,1,1,0,0,12,1,1,0
6.65286,7,49,49,0,0,0,1,0,1,0,12,0,0,12
7.17012,16,256,42,1,1,0,1,1,0,1,7,0,1,0
6.70196,11,121,47,0,0,1,0,1,0,1,14,0,1,0
6.90776,39,1521,31,1,1,1,0,1,0,1,7,0,1,0
7.16085,17,289,34,0,0,0,1,1,0,1,17,0,1,0
6.81014,43,1849,47,1,1,0,1,1,0,1,8,0,1,0
7.78322,35,1225,49,0,1,0,1,1,0,0,16,0,1,0
6.83195,36,1296,48,1,0,1,0,0,0,0,11,0,1,0
7.36518,22,484,50,0,1,1,1,1,0,0,17,0,1,0
6.23637,18,324,49,1,1,0,1,0,0,0,12,0,1,0
6.55108,14,196,51,1,0,0,1,1,0,0,11,0,1,0
7.17242,35,1225,45,0,1,0,1,1,0,0,14,0,1,0
7.43838,9,81,49,0,1,0,1,0,0,0,17,0,1,0
6.95655,20,400,43,0,0,0,1,1,0,0,16,0,1,0
6.10925,23,529,48,1,1,1,1,0,0,0,7,0,1,0
7.29709,17,289,47,0,0,1,1,1,0,0,14,0,1,0
6.76849,12,144,49,0,1,1,1,1,0,0,12,0,1,0
7.49554,37,1369,47,0,1,0,1,1,0,0,12,0,1,0
7.1309,21,441,45,1,1,0,0,1,0,1,12,0,1,0
7.37776,31,961,49,0,1,0,1,1,0,0,12,0,1,0
6.74524,43,1849,40,0,1,0,1,1,0,1,12,0,1,0
6.96791,12,144,49,0,0,0,1,0,0,0,13,0,1,0
7.2998,25,625,48,0,0,0,1,0,0,0,13,0,1,0
7.75577,33,1089,39,0,0,0,1,1,0,0,17,0,1,0
6.4677,35,1225,49,0,0,0,0,1,0,0,17,0,1,0
7.21229,20,400,48,1,1,0,0,1,0,0,12,0,1,0
7.06817,20,400,48,1,1,0,0,1,0,1,14,0,1,0
7.04752,20,400,43,0,0,0,1,0,1,1,17,0,0,17
6.99942,31,961,47,1,1,0,0,1,0,1,9,0,1,0
8.537,22,484,50,0,0,0,1,1,0,0,17,0,1,0
6.90776,20,400,49,1,1,0,1,1,0,0,12,0,1,0
7.64969,19,361,49,0,1,0,0,0,0,0,16,0,1,0
7.00307,21,441,50,1,0,0,0,1,0,1,12,0,1,0
7.00307,33,1089,29,1,1,1,0,1,0,1,8,0,1,0
7.49554,34,1156,47,0,0,1,0,1,0,0,16,0,1,0
6.91672,20,400,49,1,1,1,1,1,0,1,12,0,1,0
5.7462,9,81,52,1,0,0,0,1,0,0,12,0,1,0
7.35244,34,1156,37,1,0,0,1,1,0,1,14,0,1,0
6.76273,33,1089,41,1,1,0,1,1,0,0,12,0,1,0
6.49072,37,1369,49,1,1,0,1,1,0,1,8,0,1,0
7.04752,37,1369,46,1,1,0,1,1,0,1,8,0,1,0
7.06219,36,1296,41,1,1,0,1,1,0,1,8,0,1,0
7.54697,27,729,50,0,0,1,0,1,0,0,17,0,1,0
7.04752,25,625,40,1,1,1,1,1,0,1,12,1,1,0
6.45362,10,100,49,1,1,0,0,0,0,1,12,0,1,0
7.31322,21,441,48,0,1,0,0,1,0,0,12,0,1,0
7.64779,26,676,48,0,1,0,1,1,0,0,13,0,1,0
7.25347,29,841,50,1,1,0,1,1,0,0,11,0,1,0
7.46737,29,841,47,0,1,0,1,1,0,0,16,0,1,0
7.24423,10,100,49,0,0,0,1,1,0,0,16,0,1,0
7.21891,16,256,52,1,1,1,0,1,0,1,9,0,1,0
6.50578,21,441,49,1,0,0,0,1,0,0,8,0,1,0
7.10906,41,1681,47,0,1,0,1,1,0,0,16,0,1,0
6.96602,40,1600,48,1,1,0,1,1,0,0,12,0,1,0
7.17012,13,169,48,0,1,0,0,1,0,0,14,0,1,0
7.39817,25,625,49,0,0,0,1,1,0,0,16,0,1,0
7.40853,42,1764,48,0,1,0,0,1,0,0,15,0,1,0
7.21008,18,324,47,0,1,0,0,1,0,0,12,0,1,0
6.86693,10,100,49,0,0,0,1,1,0,0,14,0,1,0
6.90776,12,144,37,0,0,0,1,0,0,1,16,0,1,0
6.80351,22,484,5,1,1,0,1,1,0,1,12,0,1,0
6.82763,26,676,46,1,0,1,0,1,0,0,16,0,1,0
5.70378,10,100,35,1,0,1,0,0,0,0,8,1,1,0
6.68461,19,361,48,1,0,0,1,0,0,0,12,0,1,0
7.1309,18,324,49,0,0,1,1,0,0,0,17,0,1,0
7.37776,9,81,48,0,1,0,1,1,0,0,16,0,1,0
7.06902,39,1521,48,1,0,0,0,1,0,0,13,0,1,0
6.90776,14,196,50,1,1,0,0,1,0,1,12,0,1,0
7.08841,35,1225,47,1,1,0,1,1,0,0,12,0,1,0
6.68461,36,1296,49,1,1,0,0,1,0,1,12,0,1,0
7.1507,31,961,35,0,0,0,1,1,0,1,17,0,1,0
6.97073,15,225,52,1,0,0,0,1,0,0,12,0,1,0
6.51471,14,196,49,1,0,0,1,0,0,0,12,0,1,0
6.64249,16,256,49,1,1,1,1,1,0,1,12,0,1,0
6.69208,16,256,41,1,1,1,1,0,1,0,11,1,0,11
6.67834,43,1849,45,1,1,0,0,1,0,1,12,0,1,0
7.29302,16,256,48,0,0,0,1,1,0,0,15,0,1,0
5.81413,16,256,40,1,0,0,0,0,1,0,10,0,0,10
8.3082,9,81,50,0,0,0,1,1,0,0,17,0,1,0
7.57558,31,961,50,0,0,1,0,1,0,0,17,0,1,0
6.13773,30,900,49,1,0,1,0,1,0,0,9,0,1,0
6.55108,18,324,28,0,0,0,1,0,0,0,12,1,1,0
7.27101,16,256,50,0,0,0,1,1,0,0,16,0,1,0
7.69621,34,1156,43,0,1,0,1,1,0,0,16,0,1,0
6.99668,11,121,48,1,1,0,1,0,0,1,12,0,1,0
6.72743,9,81,49,0,0,0,1,0,1,0,12,0,0,12
7.21891,10,100,47,0,0,0,0,1,0,0,14,0,1,0
6.59304,25,625,50,0,0,0,1,0,1,0,15,0,0,15
6.75693,9,81,49,1,1,0,0,1,0,0,9,0,1,0
6.3699,26,676,49,1,0,0,0,1,0,0,16,0,1,0
6.98286,17,289,50,0,0,0,1,1,0,0,12,0,1,0
7.14441,20,400,32,1,1,1,0,1,0,1,12,0,1,0
6.21461,14,196,51,1,0,1,0,0,1,0,14,0,0,14
5.75257,16,256,41,1,0,1,0,0,1,0,8,0,0,8
7.09008,31,961,47,1,1,0,1,1,0,1,12,0,1,0
7.11233,29,841,47,1,0,0,0,1,0,1,12,0,1,0
7.47873,41,1681,30,1,1,0,1,1,0,1,12,0,1,0
7.26263,28,784,42,1,0,0,1,1,0,1,12,0,1,0
7.18311,16,256,48,0,0,0,1,1,0,0,12,0,1,0
7.01481,29,841,49,0,0,0,0,1,0,0,17,0,1,0
6.95464,12,144,50,1,1,1,0,1,0,0,9,0,1,0
6.5903,31,961,42,1,1,1,0,1,0,1,6,0,1,0
6.94794,12,144,44,0,1,0,1,1,0,1,12,0,1,0
7.49332,38,1444,50,0,0,0,1,1,0,0,16,0,1,0
6.47697,17,289,49,1,1,0,0,1,0,1,12,0,1,0
6.72022,17,289,52,0,1,1,1,1,0,0,16,0,1,0
6.90776,13,169,40,1,0,1,0,1,0,0,9,0,1,0
6.21261,26,676,39,1,1,1,0,0,1,0,7,0,0,7
7.1309,35,1225,45,0,1,0,0,1,0,0,12,0,1,0
7.09008,14,196,50,0,0,0,1,0,0,0,13,0,1,0
6.73102,9,81,38,0,0,0,0,1,0,0,17,0,1,0
6.71538,26,676,47,1,1,0,0,1,0,1,11,0,1,0
6.42487,13,169,50,0,0,1,1,0,1,0,12,0,0,12
6.01616,25,625,52,0,0,0,1,1,0,0,9,0,1,0
7.04752,38,1444,46,1,0,1,0,1,0,1,9,0,1,0
7.04839,31,961,34,1,0,1,0,1,0,1,12,0,1,0
7.87284,18,324,47,0,0,0,1,1,0,0,13,0,1,0
7.91936,19,361,51,0,0,0,1,1,0,0,17,0,1,0
6.05209,21,441,42,1,0,0,1,0,1,0,11,1,0,11
6.8977,29,841,42,0,0,0,0,1,0,0,17,0,1,0
6.95655,40,1600,45,1,1,0,0,0,0,1,8,0,1,0
7.54961,36,1296,48,0,1,0,1,1,0,1,10,0,1,0
7.6009,13,169,49,0,1,0,1,1,0,0,17,0,1,0
7.24423,33,1089,48,1,1,0,1,1,0,0,11,0,1,0
6.55108,30,900,49,1,0,0,1,1,0,0,12,0,1,0
6.39693,41,1681,50,0,0,1,1,1,0,0,16,1,1,0
7.54961,23,529,48,0,0,1,1,1,0,0,17,0,1,0
6.53233,10,100,49,0,0,0,0,1,0,0,13,0,1,0
6.68835,17,289,49,1,1,0,0,1,0,1,12,0,1,0
7.21082,25,625,50,1,0,0,1,1,0,1,12,0,1,0
7.05099,39,1521,46,0,0,1,0,1,0,1,12,0,1,0
7.28207,34,1156,46,0,0,0,1,1,0,1,17,0,1,0
6.35437,7,49,51,1,0,0,1,0,0,0,11,0,1,0
6.77422,18,324,48,0,1,1,0,1,0,0,14,0,1,0
7.30653,40,1600,52,1,0,0,1,1,0,1,5,0,1,0
6.90174,16,256,49,0,0,0,1,0,1,0,12,0,0,12
6.19236,36,1296,50,1,1,1,0,1,0,0,12,0,1,0
6.90776,35,1225,48,0,0,0,1,1,0,0,16,0,1,0
7.31322,8,64,49,0,0,0,1,1,0,0,16,0,1,0
6.90776,22,484,42,0,1,0,1,0,1,1,17,0,0,17
6.90776,8,64,50,1,0,0,0,1,0,1,12,0,1,0
8.04719,29,841,48,0,1,0,1,1,0,0,16,0,1,0
7.04141,33,1089,48,0,0,0,0,1,0,0,17,0,1,0
7.1309,36,1296,39,1,1,0,1,1,0,1,10,0,1,0
6.74524,27,729,47,1,1,0,0,1,0,1,12,0,1,0
6.17379,24,576,49,1,1,1,0,1,0,0,7,0,1,0
7.48717,13,169,48,0,1,0,1,1,0,0,17,0,1,0
6.59304,12,144,36,0,0,0,0,1,0,0,16,0,1,0
7.03527,38,1444,48,0,0,0,0,1,0,0,12,0,1,0
8.05516,33,1089,49,0,0,0,0,1,0,0,16,0,1,0
7.55747,40,1600,48,1,0,0,1,1,0,1,12,0,1,0
6.76964,21,441,38,1,0,0,1,1,0,1,10,0,1,0
6.16542,13,169,39,1,0,0,1,0,1,1,10,0,0,10
7.34601,15,225,48,1,1,0,1,1,0,1,12,0,1,0
6.7334,28,784,52,1,1,1,0,1,0,0,10,0,1,0
6.7093,42,1764,40,1,0,0,1,1,0,0,7,0,1,0
6.62007,43,1849,46,1,0,1,0,1,0,1,10,0,1,0
6.04025,15,225,49,1,0,0,1,0,1,0,7,1,0,7
6.21461,16,256,47,1,0,0,1,0,1,0,11,0,0,11
7.00307,36,1296,48,0,1,0,1,0,0,0,16,0,1,0
6.57508,24,576,48,1,1,1,0,1,0,1,10,0,1,0
6.62007,12,144,49,0,0,1,0,0,0,0,16,0,1,0
7.69621,31,961,47,0,0,0,1,1,0,0,17,1,1,0
6.95655,13,169,49,0,1,1,0,1,0,1,12,1,1,0
6.72623,39,1521,24,1,1,0,0,1,0,0,12,0,1,0
6.63068,9,81,50,1,1,0,0,0,1,1,12,0,0,12
7.09008,11,121,48,0,0,1,1,1,0,1,16,0,1,0
7.20042,38,1444,47,1,1,0,0,1,0,1,12,0,1,0
6.99393,31,961,45,0,0,1,0,0,0,0,17,0,1,0
6.16752,16,256,52,1,1,1,0,1,0,0,10,0,1,0
7.31322,16,256,49,0,0,0,1,1,0,0,12,0,1,0
6.9256,22,484,49,1,0,1,1,1,0,1,10,0,1,0
7.37776,18,324,49,0,0,0,1,1,0,0,16,0,1,0
6.62007,16,256,48,1,1,0,1,0,1,0,12,1,0,12
