lprn,lsf,unitsftc,bathstot,roomsn,sfan,sfdn,cencityn,urbsubn,urbann,riuraln,agelt5,age510,age1015,agegte30,inadeq,degreen,s87,s88,s89,s90,s91,s92,s93,verylg,large,siz1to3,small,prvlocn,firbuy,incbuy,incsell,qbusb,qbusn,agen,ageb,blkbuy,blksell,marbuy,marsell,sfbuy,sfsell,edubuy,edusell,kidbuy,kidsell,cenind,saltotbt,saltotnt
7.696667,6.504288,0,1,4,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,29000,12480,0,0,27,20,0,0,0,0,0,0,0,0,0,1,0,0,0
7.824446,6.579251,0,1,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,15000,7000,0,0,30,41,0,0,0,0,1,1,0,0,0,1,0,0,0
8.006701,7.600903,0,2.5,9,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,90000,40000,0,0,33,64,0,0,1,1,0,0,1,0,1,0,0,0,0
8.006701,6.579251,0,1,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6009,13100,0,0,21,27,0,0,0,1,1,0,0,0,0,1,0,0,0
8.131824,6.309918,0,1,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2000,21000,0,0,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0
8.160804,6.55108,0,1,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,19350,1500,0,0,33,58,0,0,1,0,0,1,0,0,1,0,0,0,0
8.2943,6.579251,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7000,35000,0,0,40,34,0,0,1,1,0,0,0,0,0,1,0,0,0
8.2943,6.802395,0,1,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11000,8800,0,0,31,38,0,0,0,0,0,1,0,0,0,1,0,0,0
8.412055,6.49224,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,16000,14000,0,0,24,51,0,0,1,0,0,1,0,0,1,0,0,0,0
8.47658,6.659294,0,1,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,9000,21600,0,0,22,22,0,0,1,1,0,0,0,0,1,0,0,0,0
