WID,MALE,AGE,AGESQ,TENURE,HOURS,EDUC,PEXP,PEXPSQ,LMEARNCP,LMEARNPP,EDUCSQ,TENSQ,MGMT,SUPER,ADMIN,SALES,TECH,WAVE2,WAVE3,COUNTRY,FIRM,WAVE,FIRMWAVE,CAPCITY,WOOD1,TEXTILE1,METAL1,ANYFOR,ANYSTAT,EMP,LEMP,LVADPPP,LCAPPPP,LVADEMPPPP,LCAPEMPPPP,Tr
7,1,17,289,0.0833333333333333,48,11,0,0,9.7219355225212,4.89655139952608,121,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",12,1,"12-1",1,1,0,0,0,0,11,2.39789527279837,8.6511056090025,4.90249863549168,6.25321033620413,2.50460336269331,0
5,1,24,576,0.0833333333333333,48,14,4,16,10.0473579229558,5.2219737999607,196,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",12,1,"12-1",1,1,0,0,0,0,11,2.39789527279837,8.6511056090025,4.90249863549168,6.25321033620413,2.50460336269331,0
4,1,31,961,0.0833333333333333,48,14,11,121,10.452823031064,5.62743890806887,196,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",12,1,"12-1",1,1,0,0,0,0,11,2.39789527279837,8.6511056090025,4.90249863549168,6.25321033620413,2.50460336269331,0
24,1,20,400,0.0833333333333333,40,0,14,196,6.90852480576117,2.08314068276604,0,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",85,1,"85-1",0,1,0,0,0,0,2,0.693147180559945,9.17349082911518,6.03454570024603,8.48034364855523,5.34139851968608,0
22,1,19,361,0.0833333333333333,40,10,3,9,6.503059697653,1.67767557465787,100,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",69,1,"69-1",0,0,0,0,0,0,12,2.484906649788,8.39723706459935,6.23749970222402,5.91233041481135,3.75259305243602,0
28,0,18,324,0.0833333333333333,40,10,2,4,9.4239855303287,4.59860140733357,100,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",60,1,"60-1",0,0,0,0,0,0,11,2.39789527279837,8.26935702751165,7.69977997032183,5.87146175471328,5.30188469752346,0
1,1,24,576,0.0833333333333333,40,11,7,49,9.85389452574303,5.0285104027479,121,0.00694444444444444,0,0,1,0,0,0,0,"Ghana",32,1,"32-1",1,1,0,0,0,0,15,2.70805020110221,9.86608411104643,7.8072115106585,7.15803390994422,5.09916130955629,0
21,1,21,441,0.0833333333333333,40,15,0,0,9.28685938003819,4.46147525704306,225,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",123,1,"123-1",0,1,0,0,0,0,15,2.70805020110221,11.6121697536106,8.81171771358709,8.90411955250839,6.10366751248488,0
2,1,18,324,0.0833333333333333,36,14,-2,4,8.80564479064705,3.98026066765192,196,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",40,1,"40-1",0,0,0,0,0,0,11,2.39789527279837,10.0845888529249,9.57532746995359,7.68669358012653,7.17743219715522,0
2,1,56,3136,0.0833333333333333,40,12,38,1444,10.96364865483,6.13826453183486,144,0.00694444444444444,0,0,0,0,0,0,0,"Ghana",129,1,"129-1",1,0,0,1,1,0,34,3.52636052461616,11.4471886109424,13.1965482755937,7.92082808632624,9.67018775097754,0
2,1,24,576,0.166666666666667,48,10,8,64,10.0473579229558,5.2219737999607,100,0.0277777777777778,0,0,0,0,0,0,0,"Ghana",12,1,"12-1",1,1,0,0,0,0,11,2.39789527279837,8.6511056090025,4.90249863549168,6.25321033620413,2.50460336269331,0
3,1,25,625,0.166666666666667,40,10,9,81,9.96842293486769,5.14303881187256,100,0.0277777777777778,0,0,0,0,0,0,0,"Ghana",32,1,"32-1",1,1,0,0,0,0,15,2.70805020110221,9.86608411104643,7.8072115106585,7.15803390994422,5.09916130955629,0
2,1,26,676,0.166666666666667,40,10,10,100,9.96842293486769,5.14303881187256,100,0.0277777777777778,0,0,0,0,0,0,0,"Ghana",32,1,"32-1",1,1,0,0,0,0,15,2.70805020110221,9.86608411104643,7.8072115106585,7.15803390994422,5.09916130955629,0
22,0,17,289,0.25,40,0,11,121,6.90852480576117,2.08314068276604,0,0.0625,0,0,0,0,0,0,0,"Ghana",61,1,"61-1",0,0,0,0,0,0,9,2.19722457733622,3.70500883604382,5.67260685718775,1.5077842587076,3.47538227985153,0
1,0,24,576,0.25,40,10,8,64,8.94874563428772,4.12336151129259,100,0.0625,0,0,0,0,0,0,0,"Ghana",122,1,"122-1",0,0,0,0,0,0,4,1.38629436111989,9.61037068409839,6.98194017717151,8.2240763229785,5.59564581605162,0
23,1,19,361,0.25,40,6,7,49,9.21110989875521,4.38572577576008,36,0.0625,0,0,0,0,0,0,0,"Ghana",27,1,"27-1",1,1,0,0,0,0,12,2.484906649788,10.3093563731794,7.20508372848572,7.8244497233914,4.72017707869772,0
4,1,22,484,0.25,40,11,5,25,9.93720817945484,5.11182405645971,121,0.0625,0,0,0,0,0,0,0,"Ghana",41,1,"41-1",0,0,0,0,0,0,40,3.68887945411394,13.9038441357772,11.5091488216899,10.2149646816633,7.82026936757596,0
23,0,27,729,0.333333333333333,40,10,11,121,6.90852480576117,2.08314068276604,100,0.111111111111111,0,0,0,0,0,0,0,"Ghana",61,1,"61-1",0,0,0,0,0,0,9,2.19722457733622,3.70500883604382,5.67260685718775,1.5077842587076,3.47538227985153,0
22,1,20,400,0.333333333333333,40,10,4,16,9.4239855303287,4.59860140733357,100,0.111111111111111,0,0,0,0,0,0,0,"Ghana",60,1,"60-1",0,0,0,0,0,0,11,2.39789527279837,8.26935702751165,7.69977997032183,5.87146175471328,5.30188469752346,0
23,1,20,400,0.333333333333333,40,10,4,16,9.39343145554917,4.56804733255404,100,0.111111111111111,0,0,0,0,0,0,0,"Ghana",108,1,"108-1",0,0,0,1,0,0,12,2.484906649788,10.6993453995391,7.89823090904567,8.2144387497511,5.41332425925767,0
3,1,61,3721,0.333333333333333,40,10,45,2025,9.3707400443471,4.54535592135197,100,0.111111111111111,0,0,0,0,0,0,0,"Ghana",4,1,"4-1",1,1,0,0,0,0,29,3.36729582998647,10.6997396580402,12.5034010950338,7.33244382805373,9.13610526504733,0
6,1,19,361,0.333333333333333,40,10,3,9,9.50647392773993,4.6810898047448,100,0.111111111111111,0,0,0,0,0,0,0,"Ghana",199,1,"199-1",1,1,0,0,1,0,121,4.79579054559674,14.4171859835003,14.00747849181,9.62139543790356,9.21168794621326,0
22,1,16,256,0.416666666666667,40,6,4,16,8.29481916688106,3.46943504388593,36,0.173611111111111,0,0,0,0,0,0,0,"Ghana",59,1,"59-1",0,0,0,0,0,0,5,1.6094379124341,9.83496109665075,5.77796737284558,8.22552318421665,4.16852946041148,0
22,1,19,361,0.416666666666667,40,10,3,9,7.60167198632111,2.77628786332598,100,0.173611111111111,0,0,0,0,0,0,0,"Ghana",97,1,"97-1",0,1,0,0,0,0,8,2.07944154167984,8.54761987804694,6.84840878454699,6.4681783363671,4.76896724286715,0
23,1,30,900,0.416666666666667,40,10,14,196,7.60167198632111,2.77628786332598,100,0.173611111111111,0,0,0,0,0,0,0,"Ghana",97,1,"97-1",0,1,0,0,0,0,8,2.07944154167984,8.54761987804694,6.84840878454699,6.4681783363671,4.76896724286715,0
1,1,18,324,0.416666666666667,40,0,12,144,9.91065961618629,5.08527549319116,0,0.173611111111111,0,0,0,0,0,0,0,"Ghana",27,1,"27-1",1,1,0,0,0,0,12,2.484906649788,10.3093563731794,7.20508372848572,7.8244497233914,4.72017707869772,0
21,1,16,256,0.5,40,14,-4,16,8.29481916688106,3.46943504388593,196,0.25,0,0,0,0,0,0,0,"Ghana",59,1,"59-1",0,0,0,0,0,0,5,1.6094379124341,9.83496109665075,5.77796737284558,8.22552318421665,4.16852946041148,0
22,0,26,676,0.5,40,0,20,400,9.99956725911948,5.17418313612435,0,0.25,0,0,0,0,0,0,0,"Ghana",38,1,"38-1",0,0,0,1,0,0,9,2.19722457733622,9.61309177421275,6.38410317641589,7.41586719687653,4.18687859907967,0
21,1,18,324,0.5,40,10,2,4,8.45444931247294,3.62906518947781,100,0.25,0,0,0,0,0,0,0,"Ghana",11,1,"11-1",1,0,0,1,0,0,17,2.83321334405622,9.83100427610941,8.59137808960561,6.99779093205319,5.75816474554939,0
21,0,29,841,0.5,40,10,13,169,9.35421074239589,4.52882661940076,100,0.25,0,0,0,0,0,0,0,"Ghana",169,1,"169-1",1,0,0,0,0,0,5,1.6094379124341,9.33262994973446,10.296126181844,7.72319203730036,8.6866882694099,0
