firmid,year,kod2,kod3,kod4,r,ec,cc,h,h_interp,c1,c2,c3,c4,c5,k1,k2,k3,f1,f2,f3,f4,f5,lagk1,lagk2,lagk3,lagf1,lagf2,lagf3,lagf4,lagf5,lc,va,lc_was_fixed
"81070511",2019,"55","551","5510",3224701,1988688,1236013,NA,NA,36,1,0,0,0,3420366,32074,2801452,2682870,0,0,3216450,6253892,3380413,32197,2489255,2528103,0,0,3102159,5901865,NA,NA,NA
"81535238",2019,"55","551","5510",223834,174234,49600,NA,NA,31,0,0,0,0,319867,0,279466,270813,0,69679,0,599333,303817,0,182385,275117,0,47808,0,486202,NA,NA,NA
"81731784",2019,"55","551","5510",284038,239445,44593,NA,NA,33,0,0,0,0,688526,24614,130541,784575,0,0,0,843681,676711,40195,101587,782800,0,0,0,818493,NA,NA,NA
"81916557",2019,"55","551","5510",72000,1491,70509,NA,NA,28,0,0,0,0,1111855,0,1611049,926602,0,1110184,0,2722904,1208694,0,1521822,952932,0,1110184,0,2730516,NA,NA,NA
"81922588",2019,"55","551","5510",118439,69550,48889,NA,NA,119,0,0,0,0,367138,0,46078,377818,0,10873,0,413216,360820,0,52865,367971,0,0,0,413685,NA,NA,NA
"81944568",2019,"55","551","5510",97137,76293,20844,0,0,30,0,0,0,0,78524,18731,79065,97048,0,44449,0,176320,NA,NA,NA,NA,NA,NA,NA,NA,0,20844,"FALSE"
"82222059",2019,"55","551","5510",83506,58845,24661,0,0,10,0,0,0,0,476388,0,354296,683745,0,127852,0,830684,508110,0,327701,692520,0,131128,0,835811,0,24661,"FALSE"
"82685343",2019,"55","551","5510",109263,107008,2255,0,0,13,0,0,0,0,758015,296,236911,923139,0,67549,0,995222,804083,312,192863,920983,0,72664,0,997258,0,2255,"FALSE"
"82992921",2019,"55","551","5510",69254,71710,-2456,NA,NA,22,0,0,0,0,322853,653,88351,404748,0,0,0,411857,350890,946,68913,417491,0,0,0,420749,NA,NA,NA
"84150043",2019,"55","551","5510",554179,509569,44610,1,1,22,0,0,0,0,5271721,0,203163,0.0541138844831551,1.09115748404614e-021,30000,0,5474884,4711854,0,812051,4475424,906457,30000,0,5523905,7436.46048109966,52046.4604810997,"FALSE"
"84263640",2019,"55","551","5510",71628,93191,-21563,NA,NA,18,0,0,0,0,2225583,193519,222343,420179,629755,1524370,399,2641445,2270434,21777,434477,514968,573021,1524370,399,2726688,NA,NA,NA
"84279244",2019,"55","551","5510",871659,674148,197511,3,3,15,0,0,0,0,1466720,6564,440688,0.564764523732688,0.131364792780124,0,16783,1913972,1414920,3654,454957,1395501,52385,369241,0,1873531,22309.381443299,219820.381443299,"FALSE"
