hard,ram,scrn,year,price,id,speed,trend,dpentium,d486,dcd,dmulti,dscrn14,dscrn15,dscrn17,dquarter,dsemester,hard_above,ram_above,speed_above
245,8,14,1993,2595,8569,25,1,0,1,0,0,1,0,0,1,1,160,6,0
130,4,14,1993,1995,8551,25,1,0,1,0,0,1,0,0,1,1,45,2,0
85,2,14,1993,1395,8546,25,1,0,1,0,0,1,0,0,1,1,0,0,0
340,16,14,1993,2895,8561,25,1,0,1,0,0,1,0,0,1,1,255,14,0
245,8,14,1993,2295,8556,25,1,0,1,0,0,1,0,0,1,1,160,6,0
340,16,14,1993,3295,8563,33,1,0,1,0,0,1,0,0,1,1,255,14,8
85,2,14,1993,1795,8548,33,1,0,1,0,0,1,0,0,1,1,0,0,8
85,2,14,1993,1595,8547,33,1,0,1,0,0,1,0,0,1,1,0,0,8
130,4,14,1993,2395,8553,33,1,0,1,0,0,1,0,0,1,1,45,2,8
340,16,14,1993,3095,8562,33,1,0,1,0,0,1,0,0,1,1,255,14,8
245,8,14,1993,2495,8557,33,1,0,1,0,0,1,0,0,1,1,160,6,8
245,8,14,1993,2844,8570,33,1,0,1,0,0,1,0,0,1,1,160,6,8
130,4,14,1993,2195,8552,33,1,0,1,0,0,1,0,0,1,1,45,2,8
245,8,14,1993,2695,8558,33,1,0,1,0,0,1,0,0,1,1,160,6,8
452,8,14,1993,3995,8566,33,1,0,1,0,0,1,0,0,1,1,367,6,8
85,2,14,1993,1995,8549,50,1,0,1,0,0,1,0,0,1,1,0,0,25
452,8,14,1993,4195,8567,50,1,0,1,0,0,1,0,0,1,1,367,6,25
130,4,14,1993,2595,8554,50,1,0,1,0,0,1,0,0,1,1,45,2,25
340,16,14,1993,3495,8564,50,1,0,1,0,0,1,0,0,1,1,255,14,25
245,8,14,1993,2895,8559,50,1,0,1,0,0,1,0,0,1,1,160,6,25
245,8,14,1993,3044,8571,50,1,0,1,0,0,1,0,0,1,1,160,6,25
245,8,14,1993,3244,8572,66,1,0,1,0,0,1,0,0,1,1,160,6,41
85,2,14,1993,2195,8550,66,1,0,1,0,0,1,0,0,1,1,0,0,41
130,4,14,1993,2795,8555,66,1,0,1,0,0,1,0,0,1,1,45,2,41
245,8,14,1993,3095,8560,66,1,0,1,0,0,1,0,0,1,1,160,6,41
452,8,14,1993,4395,8568,66,1,0,1,0,0,1,0,0,1,1,367,6,41
340,16,14,1993,3695,8565,66,1,0,1,0,0,1,0,0,1,1,255,14,41
130,4,14,1993,1895,8524,25,2,0,1,0,0,1,0,0,1,1,45,2,0
245,8,14,1993,2195,8529,25,2,0,1,0,0,1,0,0,1,1,160,6,0
85,2,14,1993,1395,8519,25,2,0,1,0,0,1,0,0,1,1,0,0,0
245,8,14,1993,2195,8542,25,2,0,1,0,0,1,0,0,1,1,160,6,0
340,16,14,1993,2595,8534,25,2,0,1,0,0,1,0,0,1,1,255,14,0
130,4,14,1993,1995,8525,33,2,0,1,0,0,1,0,0,1,1,45,2,8
130,4,14,1993,2095,8526,33,2,0,1,0,0,1,0,0,1,1,45,2,8
245,8,14,1993,2544,8543,33,2,0,1,0,0,1,0,0,1,1,160,6,8
85,2,14,1993,1595,8521,33,2,0,1,0,0,1,0,0,1,1,0,0,8
245,8,14,1993,2295,8530,33,2,0,1,0,0,1,0,0,1,1,160,6,8
245,8,14,1993,2395,8531,33,2,0,1,0,0,1,0,0,1,1,160,6,8
452,8,14,1993,3795,8539,33,2,0,1,0,0,1,0,0,1,1,367,6,8
340,16,14,1993,2695,8535,33,2,0,1,0,0,1,0,0,1,1,255,14,8
340,16,14,1993,2795,8536,33,2,0,1,0,0,1,0,0,1,1,255,14,8
85,2,14,1993,1495,8520,33,2,0,1,0,0,1,0,0,1,1,0,0,8
340,16,14,1993,2895,8537,50,2,0,1,0,0,1,0,0,1,1,255,14,25
85,2,14,1993,1695,8522,50,2,0,1,0,0,1,0,0,1,1,0,0,25
245,8,14,1993,2495,8532,50,2,0,1,0,0,1,0,0,1,1,160,6,25
452,8,14,1993,3895,8540,50,2,0,1,0,0,1,0,0,1,1,367,6,25
245,8,14,1993,2644,8544,50,2,0,1,0,0,1,0,0,1,1,160,6,25
130,4,14,1993,2195,8527,50,2,0,1,0,0,1,0,0,1,1,45,2,25
130,4,14,1993,2295,8528,66,2,0,1,0,0,1,0,0,1,1,45,2,41
245,8,14,1993,2595,8533,66,2,0,1,0,0,1,0,0,1,1,160,6,41
340,16,14,1993,2995,8538,66,2,0,1,0,0,1,0,0,1,1,255,14,41
452,8,14,1993,3995,8541,66,2,0,1,0,0,1,0,0,1,1,367,6,41
85,2,14,1993,1795,8523,66,2,0,1,0,0,1,0,0,1,1,0,0,41
245,8,14,1993,2744,8545,66,2,0,1,0,0,1,0,0,1,1,160,6,41
340,16,14,1993,2595,8511,25,3,0,1,0,0,1,0,0,1,1,255,14,0
245,8,14,1993,2195,8506,25,3,0,1,0,0,1,0,0,1,1,160,6,0
130,4,14,1993,1895,8501,25,3,0,1,0,0,1,0,0,1,1,45,2,0
85,2,14,1993,1395,8496,25,3,0,1,0,0,1,0,0,1,1,0,0,0
130,4,14,1993,1995,8502,33,3,0,1,0,0,1,0,0,1,1,45,2,8
340,16,14,1993,2695,8512,33,3,0,1,0,0,1,0,0,1,1,255,14,8
340,16,14,1993,2795,8513,33,3,0,1,0,0,1,0,0,1,1,255,14,8
452,8,14,1993,3795,8516,33,3,0,1,0,0,1,0,0,1,1,367,6,8
85,2,14,1993,1495,8497,33,3,0,1,0,0,1,0,0,1,1,0,0,8
245,8,14,1993,2295,8507,33,3,0,1,0,0,1,0,0,1,1,160,6,8
85,2,14,1993,1595,8498,33,3,0,1,0,0,1,0,0,1,1,0,0,8
130,4,14,1993,2095,8503,33,3,0,1,0,0,1,0,0,1,1,45,2,8
245,8,14,1993,2395,8508,33,3,0,1,0,0,1,0,0,1,1,160,6,8
245,8,14,1993,2495,8509,50,3,0,1,0,0,1,0,0,1,1,160,6,25
130,4,14,1993,2195,8504,50,3,0,1,0,0,1,0,0,1,1,45,2,25
85,2,14,1993,1695,8499,50,3,0,1,0,0,1,0,0,1,1,0,0,25
340,16,14,1993,2895,8514,50,3,0,1,0,0,1,0,0,1,1,255,14,25
452,8,14,1993,3895,8517,50,3,0,1,0,0,1,0,0,1,1,367,6,25
340,16,14,1993,2995,8515,66,3,0,1,0,0,1,0,0,1,1,255,14,41
130,4,14,1993,2295,8505,66,3,0,1,0,0,1,0,0,1,1,45,2,41
452,8,14,1993,3995,8518,66,3,0,1,0,0,1,0,0,1,1,367,6,41
85,2,14,1993,1795,8500,66,3,0,1,0,0,1,0,0,1,1,0,0,41
245,8,14,1993,2595,8510,66,3,0,1,0,0,1,0,0,1,1,160,6,41
340,16,14,1993,2595,8483,25,4,0,1,0,0,1,0,0,2,1,255,14,0
85,2,14,1993,1490,8458,25,4,0,1,0,0,1,0,0,2,1,0,0,0
130,4,14,1993,1990,8468,25,4,0,1,0,0,1,0,0,2,1,45,2,0
245,8,14,1993,2195,8473,25,4,0,1,0,0,1,0,0,2,1,160,6,0
130,4,14,1993,1895,8463,25,4,0,1,0,0,1,0,0,2,1,45,2,0
85,2,14,1993,1395,8453,25,4,0,1,0,0,1,0,0,2,1,0,0,0
245,8,14,1993,2290,8478,25,4,0,1,0,0,1,0,0,2,1,160,6,0
340,16,14,1993,2690,8488,25,4,0,1,0,0,1,0,0,2,1,255,14,0
340,16,14,1993,2795,8485,33,4,0,1,0,0,1,0,0,2,1,255,14,8
130,4,14,1993,2090,8469,33,4,0,1,0,0,1,0,0,2,1,45,2,8
245,8,14,1993,2395,8475,33,4,0,1,0,0,1,0,0,2,1,160,6,8
130,4,14,1993,1995,8464,33,4,0,1,0,0,1,0,0,2,1,45,2,8
245,8,14,1993,2390,8479,33,4,0,1,0,0,1,0,0,2,1,160,6,8
85,2,14,1993,1690,8460,33,4,0,1,0,0,1,0,0,2,1,0,0,8
85,2,14,1993,1495,8454,33,4,0,1,0,0,1,0,0,2,1,0,0,8
340,16,14,1993,2790,8489,33,4,0,1,0,0,1,0,0,2,1,255,14,8
130,4,14,1993,2095,8465,33,4,0,1,0,0,1,0,0,2,1,45,2,8
452,8,14,1993,3795,8493,33,4,0,1,0,0,1,0,0,2,1,367,6,8
245,8,14,1993,2490,8480,33,4,0,1,0,0,1,0,0,2,1,160,6,8
85,2,14,1993,1590,8459,33,4,0,1,0,0,1,0,0,2,1,0,0,8
245,8,14,1993,2295,8474,33,4,0,1,0,0,1,0,0,2,1,160,6,8
130,4,14,1993,2190,8470,33,4,0,1,0,0,1,0,0,2,1,45,2,8
340,16,14,1993,2695,8484,33,4,0,1,0,0,1,0,0,2,1,255,14,8
340,16,14,1993,2890,8490,33,4,0,1,0,0,1,0,0,2,1,255,14,8
85,2,14,1993,1595,8455,33,4,0,1,0,0,1,0,0,2,1,0,0,8
130,4,14,1993,2290,8471,50,4,0,1,0,0,1,0,0,2,1,45,2,25
130,4,14,1993,2195,8466,50,4,0,1,0,0,1,0,0,2,1,45,2,25
85,2,14,1993,1790,8461,50,4,0,1,0,0,1,0,0,2,1,0,0,25
245,8,14,1993,2495,8476,50,4,0,1,0,0,1,0,0,2,1,160,6,25
340,16,14,1993,2990,8491,50,4,0,1,0,0,1,0,0,2,1,255,14,25
245,8,14,1993,2590,8481,50,4,0,1,0,0,1,0,0,2,1,160,6,25
452,8,14,1993,3895,8494,50,4,0,1,0,0,1,0,0,2,1,367,6,25
85,2,14,1993,1695,8456,50,4,0,1,0,0,1,0,0,2,1,0,0,25
340,16,14,1993,2895,8486,50,4,0,1,0,0,1,0,0,2,1,255,14,25
245,8,14,1993,2595,8477,66,4,0,1,0,0,1,0,0,2,1,160,6,41
340,16,14,1993,3090,8492,66,4,0,1,0,0,1,0,0,2,1,255,14,41
85,2,14,1993,1795,8457,66,4,0,1,0,0,1,0,0,2,1,0,0,41
340,16,14,1993,2995,8487,66,4,0,1,0,0,1,0,0,2,1,255,14,41
130,4,14,1993,2295,8467,66,4,0,1,0,0,1,0,0,2,1,45,2,41
130,4,14,1993,2390,8472,66,4,0,1,0,0,1,0,0,2,1,45,2,41
85,2,14,1993,1890,8462,66,4,0,1,0,0,1,0,0,2,1,0,0,41
452,8,14,1993,3995,8495,66,4,0,1,0,0,1,0,0,2,1,367,6,41
