seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
1,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
2,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
3,11,M,Black,N,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,206,F,214,1080
4,11,M,Black,N,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,206,F,214,1080
5,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,25,1,0,664,9,35,2,686, , , , , , , , , , , , ,F,216,NI,226,F,218, , ,1080
6,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,25,1,0,664,9,35,2,686, , , , , , , , , , , , ,F,216,NI,226,F,218, , ,1080
7,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
8,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
9,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
10,11,M,White,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
11,11,F,White, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,1080
12,11,F,Black, ,No,AF,1, ,0, , , , ,9,64,2,1,700,9,40,2,691, , , , , , , , , , , , ,F,216,NI,224,F,218, , ,1080
13,11,F,White, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,1080
14,11,F,Black, ,No,AF,1, ,0, , , , ,9,64,2,1,700,9,40,2,691, , , , , , , , , , , , ,F,216,NI,224,F,218, , ,1080
15,11,F,White, ,No,O,3, ,0, , , , ,9,73,2,1,710,9,57,2,708, , , , , , , , , , , , ,NI,222,NI,230, , , , ,1080
16,11,F,White, ,No,O,3, ,0, , , , ,9,73,2,1,710,9,57,2,708, , , , , , , , , , , , ,NI,222,NI,230, , , , ,1080
17,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
18,11,M,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
19,11,F,Hispanic, ,No,O,3, ,0, , , , ,9,96,3,1,758,9,73,3,725,10,85,2,739, , , , , , , , ,P,250,P,246, , , , ,1080
20,11,F,Hispanic, ,No,O,3, ,0, , , , ,9,96,3,1,758,9,73,3,725,10,85,2,739, , , , , , , , ,P,250,P,246, , , , ,1080
21,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,INC, ,F,210,F,216,1080
22,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,214,INC, ,F,210,F,216,1080
23,11,M,Black, ,No,O,3, ,0, , , , ,9,71,2,1,707,9,47,2,698, , , , , , , , , , , , ,NI,232,NI,234, , , , ,1080
24,11,M,Black, ,No,O,3, ,0, , , , ,9,71,2,1,707,9,47,2,698, , , , , , , , , , , , ,NI,232,NI,234, , , , ,1080
25,11,M,Black, ,No,AR,2, ,0, , , , ,9,76,2,1,714,9,27,2,677, , , , , , , , , , , , ,F,218,F,218,NI,230,F,218,1080
26,11,M,Black, ,No,AR,2, ,0, , , , ,9,76,2,1,714,9,27,2,677, , , , , , , , , , , , ,F,218,F,218,NI,230,F,218,1080
27,11,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,214,F,210,NI,224,1080
28,11,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,214,F,210,NI,224,1080
29,11,M,Hispanic, ,No,AF,1,M4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
30,11,M,Hispanic, ,No,AF,1,M4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
31,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
32,11,M,Black,N,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
33,11,M,Black, ,No,O,3,B4,4, , , , , , , , , , , , , , , , , , , , , , , , , ,F,210,F,214,F,208,F,212,1080
34,11,M,Black, ,No,O,3,B4,4, , , , , , , , , , , , , , , , , , , , , , , , , ,F,210,F,214,F,208,F,212,1080
35,11,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,NI,232,NI,220, , , , ,1080
36,11,M,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,NI,232,NI,220, , , , ,1080
37,11,M,Black, ,No,O,3, ,0, , , , ,9,47,1,0,684,9, , , , , , , , , , , , , , , ,F,218,NI,222,F,212, , ,1080
38,11,M,Black, ,No,O,3, ,0, , , , ,9,47,1,0,684,9, , , , , , , , , , , , , , , ,F,218,NI,222,F,212, , ,1080
39,11,F,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,LEP, ,F,216,NI,220,1080
40,11,F,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,LEP, ,F,216,NI,220,1080
41,11,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,F,218,F,214,1080
42,11,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,218,F,214,F,218,F,214,1080
43,11,M,White,O,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
44,11,M,White,O,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
45,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,NI,230,NI,224, , , , ,1080
46,11,F,Black, ,No,O,3, ,0, , , , ,9,13,1,0,648,9,19,1,665, , , , , , , , , , , , ,F,214,F,218,F,218,NI,228,1080
47,11,F,Black, ,No,AF,1, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,NI,230,NI,224, , , , ,1080
48,11,F,Black, ,No,O,3, ,0, , , , ,9,13,1,0,648,9,19,1,665, , , , , , , , , , , , ,F,214,F,218,F,218,NI,228,1080
49,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,32,1,0,671,9,31,2,682, , , , , , , , , , , , ,NI,232,NI,222, , , , ,1080
50,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,32,1,0,671,9,31,2,682, , , , , , , , , , , , ,NI,232,NI,222, , , , ,1080
51,11,M,Black, ,No,O,3, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,F,216,F,216,F,212,F,216,1080
52,11,M,Black, ,No,O,3, ,0, , , , ,9,78,2,1,717,9,68,3,719, , , , , , , , , , , , ,F,216,F,216,F,212,F,216,1080
53,11,M,Black, ,No,AF,1,L3,3, , , , ,9,8,1,0,639,9,11,1,650, , , , , , , , , , , , ,F,204,INC, ,F,208,F,214,1080
54,11,M,Black, ,No,AF,1,L3,3, , , , ,9,8,1,0,639,9,11,1,650, , , , , , , , , , , , ,F,204,INC, ,F,208,F,214,1080
55,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
56,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1080
57,11,F,Black,O,Yes,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , ,F,200,F,200, , , , ,F,214,F,214,1080
